ProductOptionId,Field,Label,Type,Description,CategoryId
1,DisplayTech,Công nghệ màn hình,varchar(255),Công nghệ màn hình,1
2,Resolution,Độ phân giải,varchar(255),Độ phân giải,1
3,DisplaySize,Kích thước màn hình,varchar(255),Màn hình rộng,1
4,Touchscreen,Cảm ứng,varchar(255),Loại Cảm ứng,1
5,CoverGlass,Mặt kính cảm ứng,varchar(255),Mặt kính cảm ứng,1
6,RearCameraRes,Độ phân giải Camera sau,varchar(255),Độ phân giải Camera sau,1
7,Film,Quay phim Camera sau,varchar(255),Quay phim Camera sau,1
8,Flash,Đèn Flash,varchar(255),Đèn Flash,1
9,AdvancedImageCapture,Chụp ảnh nâng cao,varchar(255),Chụp ảnh nâng cao,1
10,FrontCameraRes,Độ phân giải Camera trước,varchar(255),Độ phân giải Camera trước,1
11,OS,Hệ điều hành,varchar(255),Hệ điều hành,1
12,Chipset,Chipset,varchar(255),Chipset,1
13,CPUSpeed,Tốc độ CPU,varchar(255),Tốc độ CPU,1
14,GPU,Chip đồ họa (GPU),varchar(255),Chip đồ họa (GPU),1
15,RAM,RAM,varchar(255),RAM,1
16,ROM,Bộ nhớ trong (ROM),varchar(255),Bộ nhớ trong (ROM),1
17,MemCard,Thẻ nhớ ngoài,varchar(255),Thẻ nhớ ngoài,1
18,MemCardMax,Hỗ trợ thẻ tối đa,varchar(255),Hỗ trợ thẻ tối đa,1
19,2G,Băng tần 2G,varchar(255),Băng tần 2G,1
20,3G,Băng tần 3G,varchar(255),Băng tần 3G,1
21,4G,Hỗ trợ 4G,varchar(255),Hỗ trợ 4G,1
22,SIM,Số khe sim,varchar(255),Số khe sim,1
23,SIMType,Loại Sim,varchar(255),Loại Sim,1
24,Wifi,Wifi,varchar(255),Wifi,1
25,GPS,GPS,varchar(255),GPS,1
26,Bluetooth,Bluetooth,varchar(255),Bluetooth,1
27,NFC,NFC,varchar(255),NFC,1
28,Interface,Cổng kết nối/sạc,varchar(255),Cổng kết nối/sạc,1
29,Jack,Jack tai nghe,varchar(255),Jack tai nghe,1
30,Design,Thiết kế,varchar(255),Thiết kế,1
31,Material,Chất liệu,varchar(255),Chất liệu,1
32,Dimension,Kích thước,varchar(255),Kích thước,1
33,Weight,Trọng lượng,varchar(255),Trọng lượng,1
34,BatteryCapacity,Dung lượng pin,varchar(255),Dung lượng pin,1
35,BatteryType,Loại pin,varchar(255),Loại pin,1
36,VideoFileType,Xem phim,varchar(255),Xem phim,1
37,MusicFileType,Nghe nhạc,varchar(255),Nghe nhạc,1
38,AudioRecoder,Ghi âm,varchar(255),Ghi âm,1
39,Radio,Radio,varchar(255),Radio,1
40,Warranty,Bảo hành,varchar(255),Bảo hành,1
41,Other,Chức năng khác,varchar(255),Chức năng khác,1
42,DisplayTech,Công nghệ màn hình,varchar(255),Công nghệ màn hình,2
43,Resolution,Độ phân giải,varchar(255),Độ phân giải,2
44,DisplaySize,Kích thước màn hình,varchar(255),Màn hình rộng,2
45,RearCameraRes,Độ phân giải Camera sau,varchar(255),Độ phân giải Camera sau,2
46,Film,Quay phim Camera sau,varchar(255),Quay phim Camera sau,2
47,AdvancedImageCapture,Chụp ảnh nâng cao,varchar(255),Chụp ảnh nâng cao,2
48,FrontCameraRes,Độ phân giải Camera trước,varchar(255),Độ phân giải Camera trước,2
49,OS,Hệ điều hành,varchar(255),Hệ điều hành,2
50,Chipset,Chipset,varchar(255),Chipset,2
51,CPUSpeed,Tốc độ CPU,varchar(255),Tốc độ CPU,2
52,GPU,Chip đồ họa (GPU),varchar(255),Chip đồ họa (GPU),2
53,RAM,RAM,varchar(255),RAM,2
